,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
50,Trial # 46,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0239.jpg,1,Group1_IMG_0239.jpg,,,,,0.0,45.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.5145475400204,None,864.5145475400204,None,864.5145475400204,None,1.0,1.945833922014572,864.5145475400204,None,864.5145475400204,None,1.0,4.569174453004962,866.0155290820112,None,864.5145475400204,None,1.0,5.9080306550022215,868.6484915000037,None,864.5145475400204,None,space,1.6514092769939452,5.933747383387527,None,864.5145475400204,None,864.5145475400204,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
51,Trial # 47,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0536.jpg,0,encoded_Group2_IMG_0536.jpg,,,,,0.0,46.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.1336063710041,None,872.1336063710041,None,872.1336063710041,None,1.0,2.7495921130175702,872.1336063710041,None,872.1336063710041,None,1.0,3.6728036740096286,874.4356647410023,None,872.1336063710041,None,1.0,4.509718007990159,875.3686529170081,None,872.1336063710041,None,space,0.6961564939992968,4.540641691390192,None,872.1336063710041,None,872.1336063710041,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
52,Trial # 48,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0521.jpg,0,encoded_Group2_IMG_0521.jpg,,,,,0.0,47.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.3846286040207,None,877.3846286040207,None,877.3846286040207,None,4.0,11.367968121980084,877.3846286040207,None,877.3846286040207,None,1.0,5.072308044997044,880.1540788520069,None,877.3846286040207,None,3.0,8.644617550977273,882.0204886570282,None,877.3846286040207,None,space,10.126759995997418,8.674070547363954,None,877.3846286040207,None,877.3846286040207,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
53,Trial # 49,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9924.jpg,0,encoded_Group2_IMG_9924.jpg,,,,,0.0,48.0,48.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.2081657510134,None,896.2081657510134,None,896.2081657510134,None,1.0,2.0985648939968087,896.2081657510134,None,896.2081657510134,None,1.0,2.7205817950016358,897.8586615540262,None,896.2081657510134,None,1.0,3.259263954008929,898.4906832680281,None,896.2081657510134,None,space,0.6013806789997034,3.2885280813788995,None,896.2081657510134,None,896.2081657510134,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
54,Trial # 50,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9730.jpg,1,Group1_IMG_9730.jpg,,,,,0.0,49.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.1254166940053,None,900.1254166940053,None,900.1254166940053,None,6.0,1.9770008740015328,900.1254166940053,None,900.1254166940053,None,5.0,3.5328656360215973,901.6427135450068,None,900.1254166940053,None,2.0,5.573475773999235,903.2091257960128,None,900.1254166940053,None,space,6.198816451011226,5.599339710403001,None,900.1254166940053,None,900.1254166940053,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
55,Trial # 51,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0053.jpg,1,Group1_IMG_0053.jpg,,,,,0.0,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.9287293480012,None,911.9287293480012,None,911.9287293480012,None,1.0,2.0302141110005323,911.9287293480012,None,911.9287293480012,None,1.0,2.752221290982561,913.5126397300046,None,911.9287293480012,None,1.0,3.424556070996914,914.2461673040234,None,911.9287293480012,None,space,0.7849739480006974,3.4518632613762747,None,911.9287293480012,None,911.9287293480012,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
56,Trial # 52,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9698.jpg,1,Group1_IMG_9698.jpg,,,,,0.0,51.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.1974842340278,None,916.1974842340278,None,916.1974842340278,None,1.0,1.5802138709987048,916.1974842340278,None,916.1974842340278,None,1.0,2.8673662090150174,917.3307292030076,None,916.1974842340278,None,1.0,3.44082331401296,918.6312386520148,None,916.1974842340278,None,space,0.6607792589929886,3.4673258104012348,None,916.1974842340278,None,916.1974842340278,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
57,Trial # 53,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0553.jpg,0,encoded_Group2_IMG_0553.jpg,,,,,0.0,52.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.348154059,None,920.348154059,None,920.348154059,None,1.0,1.61490518602659,920.348154059,None,920.348154059,None,1.0,2.1368015620100778,921.515529344004,None,920.348154059,None,1.0,2.6751245759951416,922.0487515970016,None,920.348154059,None,space,0.4920833930082153,2.7053273763740435,None,920.348154059,None,920.348154059,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
58,Trial # 54,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9758.jpg,0,encoded_Group2_IMG_9758.jpg,,,,,0.0,53.0,53.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.5655910130008,None,923.5655910130008,None,923.5655910130008,None,5.0,13.785542358993553,923.5655910130008,None,923.5655910130008,None,4.0,8.287972025980707,924.833558733022,None,923.5655910130008,None,2.0,9.828654701996127,931.4179683190014,None,923.5655910130008,None,space,5.442701666994253,9.856476320390357,None,923.5655910130008,None,923.5655910130008,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
59,Trial # 55,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0339.jpg,0,encoded_Group2_IMG_0339.jpg,,,,,0.0,54.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.9037549280038,None,938.9037549280038,None,938.9037549280038,None,1.0,1.5997719419829082,938.9037549280038,None,938.9037549280038,None,1.0,2.356537154992111,940.0554729670112,None,938.9037549280038,None,1.0,3.062429901008727,940.8210838620143,None,938.9037549280038,None,space,0.4884449320088606,3.0901280964026228,None,938.9037549280038,None,938.9037549280038,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
