,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,session,date,expName,psychopyVersion
0,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,19.457490772998423,None,86.36127449199557,None,96.16433735698229,None,102.60077604698016,None,103.9834793289774,None,1,2.8015740129631013,105.06686895497842,None,105.06686895497842,None,,,,,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
1,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,107.88580190000356,None,109.28498128399951,None,1,54.12383131502429,110.36864468298154,None,110.36864468298154,None,,,,,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
2,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,164.5195707019884,None,165.9021908559953,None,0,2.449029660958331,167.00341659999685,None,167.00341659999685,None,,,,,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
3,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,186.65926568000577,None,,,0,0.6618775140377693,189.12656923895705,None,189.12656923895705,None,169.9537773469929,None,187.97696796996752,None,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
4,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,189.8109455949744,None,,,1,0.6135361139895394,192.27885515696835,None,192.27885515696835,None,,,191.12697555701016,None,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
5,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,192.911491746956,None,,,0,0.2570838729734532,195.3953624739661,None,195.3953624739661,None,,,194.2279106740025,None,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
6,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,195.67843652697047,None,,,1,0.6332925020251423,198.1470916639664,None,198.1470916639664,None,,,197.11340777401347,None,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
7,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,198.812889675959,None,,,0,0.4602496040170081,201.2801911549759,None,201.2801911549759,None,,,200.11315224098507,None,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
8,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,201.7640372599708,None,,,1,0.5965224059764296,204.24792901496403,None,204.24792901496403,None,,,203.06529016798595,None,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
9,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,204.86497350700665,None,,,0,0.7911326489993371,207.333355484996,None,207.333355484996,None,,,206.1815910369624,None,,,,,1,2022_Mar_29_1153,Real-fake-judgement-flashing-group1,2021.1.2
