,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,text_16.started,text_16.stopped,session,date,expName,psychopyVersion,frameRate
0,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,14.49785659,None,53.04289001,None,58.97811281,None,60.31825592,None,61.68047939,None,1,2.423073019,62.76262948,None,62.76262948,None,,,,,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
1,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,65.21381531,None,66.58182939,None,1,1.752181869,67.68151859,None,67.68151859,None,,,,,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
2,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,69.46463765,None,70.83337298,None,1,1.988649719,71.94905302,None,71.94905302,None,,,,,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
3,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,137.470632,None,,,1,4.731331976,139.8863749,None,139.8863749,None,74.44970454,None,138.7531873,None,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
4,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,144.6388716,None,,,0,0.886087972,147.1236423,None,147.1236423,None,,,145.9564558,None,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
5,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,148.0396729,None,,,1,0.493662078,150.5240381,None,150.5240381,None,,,149.3563848,None,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
6,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,151.0406168,None,,,1,0.317219778,153.5244401,None,153.5244401,None,,,152.3584053,None,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
7,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,153.8744893,None,,,0,0.307859136,156.3258522,None,156.3258522,None,,,155.1582683,None,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
8,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,156.6600785,None,,,1,0.450924905,159.1427146,None,159.1427146,None,,,158.0591726,None,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
9,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,159.6264303,None,,,1,0.370679494,162.0950246,None,162.0950246,None,,,160.9279309,None,,,,,,,1,2022_Mar_24_1304,Real-fake-judgement-flashing-group1,2021.1.2,60.07179553
