,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 54
0,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,18.91909807128832,None,49.12838986515999,None,75.16970212897286,None,79.48782147932798,None,80.87180506624281,None,1,4.258626752067357,81.88993983529508,None,81.88993983529508,None,,,,,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
1,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,86.17362602427602,None,87.54162548622116,None,0,2.250303552020341,88.67419243324548,None,88.67419243324548,None,,,,,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
2,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,90.9581929310225,None,92.39307016506793,None,0,1.8029780159704387,93.42564203310758,None,93.42564203310758,None,,,,,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
3,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,104.04570655431598,None,,,1,2.02778279222548,106.496778359171,None,106.496778359171,None,95.74314090516418,None,105.36265320936218,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
4,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,108.54727027518676,None,,,0,0.8293107589706779,111.03124832594769,None,111.03124832594769,None,,,109.86397781828418,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
5,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,111.88177679711951,None,,,0,1.5991630740463734,114.36545356502756,None,114.36545356502756,None,,,113.19956807000564,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
6,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,115.98192697297782,None,,,1,0.6617504931055009,118.45481181005016,None,118.45481181005016,None,,,117.30085236625746,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
7,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,119.13880837522449,None,,,0,0.4030217411927879,121.60159061197191,None,121.60159061197191,None,,,120.43396282894535,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
8,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,122.03558875620364,None,,,1,0.9900260679423808,124.51853688107803,None,124.51853688107803,None,,,123.35264868894592,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
9,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,125.53544185310602,None,,,1,0.6002695262432098,128.0042221210897,None,128.0042221210897,None,,,126.83706647204237,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
10,Trial # 8,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0474.jpg,0,encoded_Group2_IMG_0474.jpg,,,,,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,128.63654739409685,None,,,0,0.300320393871516,131.12026490923017,None,131.12026490923017,None,,,129.9532535551116,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
11,Trial # 9,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_1506.jpg,0,encoded_Group2_IMG_1506.jpg,,,,,0.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,131.43878237111494,None,,,1,1.075087432283908,133.92147886613384,None,133.92147886613384,None,,,132.77220350829884,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
12,Trial # 10,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9789.jpg,1,Group1_IMG_9789.jpg,,,,,0.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,135.02154567325488,None,,,1,0.6581176673062146,137.50644497433677,None,137.50644497433677,None,,,136.3390260101296,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
13,Trial # 11,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9778.jpg,1,Group1_IMG_9778.jpg,,,,,0.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,138.18962108902633,None,,,0,0.587667154148221,140.6568949879147,None,140.6568949879147,None,,,139.50655677635223,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
14,Trial # 12,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9813.jpg,1,Group1_IMG_9813.jpg,,,,,0.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,141.27335051307455,None,,,1,0.7267008568160236,143.75786215113476,None,143.75786215113476,None,,,142.57503679627553,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
15,Trial # 13,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0516.jpg,1,Group1_IMG_0516.jpg,,,,,0.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,144.5081001170911,None,,,1,1.3725046068429947,146.97605744190514,None,146.97605744190514,None,,,145.80894293403253,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
16,Trial # 14,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0038.jpg,0,encoded_Group2_IMG_0038.jpg,,,,,0.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,148.376304294914,None,,,0,0.2887175558134913,150.8598456881009,None,150.8598456881009,None,,,149.6927037499845,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
17,Trial # 15,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_5984.jpg,1,Group1_IMG_5984.jpg,,,,,0.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,151.1764728743583,None,,,1,0.3435119739733636,153.66104936413467,None,153.66104936413467,None,,,152.51168451923877,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
18,Trial # 16,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0383.jpg,1,Group1_IMG_0383.jpg,,,,,0.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,154.02767313597724,None,,,1,0.3075043563731015,156.5130564402789,None,156.5130564402789,None,,,155.34478830732405,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
19,Trial # 17,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0456.jpg,0,encoded_Group2_IMG_0456.jpg,,,,,0.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,156.84555833926424,None,,,0,0.0195577531121671,159.32902337005362,None,159.32902337005362,None,,,158.16295859590173,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
20,Trial # 18,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_8390.jpg,0,encoded_Group2_IMG_8390.jpg,,,,,0.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,159.37973257899284,None,,,0,0.4518403098918497,161.86472204327583,None,161.86472204327583,None,,,160.67955322330818,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
21,Trial # 19,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0011.jpg,1,Group1_IMG_0011.jpg,,,,,0.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,162.34732342418283,None,,,1,0.517251281067729,164.8312440942973,None,164.8312440942973,None,,,163.66397932823747,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
22,Trial # 20,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0328.jpg,0,encoded_Group2_IMG_0328.jpg,,,,,0.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,165.38119785115123,None,,,1,0.3235475192777812,167.83304701000452,None,167.83304701000452,None,,,166.66613596025854,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
23,Trial # 21,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0163.jpg,0,encoded_Group2_IMG_0163.jpg,,,,,0.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,168.18339755712077,None,,,0,0.4182929140515625,170.66626886511222,None,170.66626886511222,None,,,169.49921181891114,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
24,Trial # 22,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9862.jpg,1,Group1_IMG_9862.jpg,,,,,0.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,171.11634093010798,None,,,1,1.451214533764869,173.60136177623644,None,173.60136177623644,None,,,172.41792244603857,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
25,Trial # 23,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0296.jpg,0,encoded_Group2_IMG_0296.jpg,,,,,0.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,175.08443698100746,None,,,0,0.5318630030378699,177.55270807025954,None,177.55270807025954,None,,,176.38407461019233,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
26,Trial # 24,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0503.jpg,0,encoded_Group2_IMG_0503.jpg,,,,,0.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,178.10199101129547,None,,,0,0.6837452449835837,180.56881117913872,None,180.56881117913872,None,,,179.40189794823527,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
27,Trial # 25,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9804.jpg,0,encoded_Group2_IMG_9804.jpg,,,,,0.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,181.2684935480356,None,,,1,0.2043697293847799,183.72021709335968,None,183.72021709335968,None,,,182.55442808009684,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
28,Trial # 26,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0391.jpg,1,Group1_IMG_0391.jpg,,,,,0.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,183.95372172817588,None,,,1,0.350957304239273,186.4215485341847,None,186.4215485341847,None,,,185.25401075091213,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
29,Trial # 27,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_3584.jpg,0,encoded_Group2_IMG_3584.jpg,,,,,0.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,186.80495272018013,None,,,0,0.3158784890547395,189.28866525134072,None,189.28866525134072,None,,,188.10613828431812,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
30,Trial # 28,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0434.jpg,0,encoded_Group2_IMG_0434.jpg,,,,,0.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,189.62185915606096,None,,,0,0.2818841473199427,192.09068884607404,None,192.09068884607404,None,,,190.9225025312044,None,,,,,1,2022_Apr_25_1604,Real-fake-judgement-flashing-group1,2021.1.2,59.867214260378105,
