,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 33
0,Trial # 1,layer0-5_O2_to_T1.jpg,layer0-5/layer0-5_O2_to_T1.jpg,OT,layer0-5,0.0,0.0,0.0,0.0,,,,,,,,,45.38564827898517,None,1.0,31.34600799996406,45.38564827898517,None,45.38564827898517,None,45.38564827898517,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
1,Trial # 2,layer0-5_O11_to_T7.jpg,layer0-5/layer0-5_O11_to_T7.jpg,OT,layer0-5,0.0,1.0,1.0,1.0,,,,,,,,,78.77939456701279,None,1.0,17.16144773736596,78.77939456701279,None,78.77939456701279,None,78.77939456701279,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
2,Trial # 3,layer6-8_O3_to_O5.jpg,layer6-8/layer6-8_O3_to_O5.jpg,OO,layer6-8,0.0,2.0,2.0,2.0,,,,,,,,,97.58617870602755,None,4.0,4.489868890028447,97.58617870602755,None,97.58617870602755,None,97.58617870602755,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
3,Trial # 4,layer6-8_O11_to_O4.jpg,layer6-8/layer6-8_O11_to_O4.jpg,OO,layer6-8,0.0,3.0,3.0,3.0,,,,,,,,,103.85421608388424,None,2.0,5.85881785210222,103.85421608388424,None,103.85421608388424,None,103.85421608388424,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
4,Trial # 5,layer6-8_O8_to_T8.jpg,layer6-8/layer6-8_O8_to_T8.jpg,OT,layer6-8,0.0,4.0,4.0,4.0,,,,,,,,,112.64102472970262,None,4.0,8.075271758716553,112.64102472970262,None,112.64102472970262,None,112.64102472970262,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
5,Trial # 6,layer0-5_O11_to_O8.jpg,layer0-5/layer0-5_O11_to_O8.jpg,OO,layer0-5,0.0,5.0,5.0,5.0,,,,,,,,,121.70971130067484,None,1.0,17.800032950006425,121.70971130067484,None,121.70971130067484,None,121.70971130067484,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
6,Trial # 7,layer0-5_T10_to_T11.jpg,layer0-5/layer0-5_T10_to_T11.jpg,TT,layer0-5,0.0,6.0,6.0,6.0,,,,,,,,,140.36588063370436,None,1.0,2.9153869757428765,140.36588063370436,None,140.36588063370436,None,140.36588063370436,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
7,Trial # 8,layer9-17_O6_to_O9.jpg,layer9-17/layer9-17_O6_to_O9.jpg,OO,layer9-17,0.0,7.0,7.0,7.0,,,,,,,,,144.18322079861537,None,2.0,3.1167864282615483,144.18322079861537,None,144.18322079861537,None,144.18322079861537,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
8,Trial # 9,layer6-8_O12_to_O9.jpg,layer6-8/layer6-8_O12_to_O9.jpg,OO,layer6-8,0.0,8.0,8.0,8.0,,,,,,,,,148.5348341949284,None,3.0,6.293824482709169,148.5348341949284,None,148.5348341949284,None,148.5348341949284,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
9,Trial # 10,layer0-5_O10_to_T2.jpg,layer0-5/layer0-5_O10_to_T2.jpg,OT,layer0-5,0.0,9.0,9.0,9.0,,,,,,,,,157.52193894190714,None,4.0,5.870201215147972,157.52193894190714,None,157.52193894190714,None,157.52193894190714,None,1,2022_Apr_26_1002,Semantic-hierachy,2021.1.2,60.337352118170045,
