,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 33
0,Trial # 1,layer0-5_O2_to_T1.jpg,layer0-5/layer0-5_O2_to_T1.jpg,OT,layer0-5,0.0,0.0,0.0,0.0,,,,,,,,,48.95430968306027,None,1.0,15.253395872889088,48.95430968306027,None,48.95430968306027,None,48.95430968306027,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
1,Trial # 2,layer0-5_O11_to_T7.jpg,layer0-5/layer0-5_O11_to_T7.jpg,OT,layer0-5,0.0,1.0,1.0,1.0,,,,,,,,,66.8935604810249,None,1.0,21.96942357206717,66.8935604810249,None,66.8935604810249,None,66.8935604810249,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
2,Trial # 3,layer6-8_O3_to_O5.jpg,layer6-8/layer6-8_O3_to_O5.jpg,OO,layer6-8,0.0,2.0,2.0,2.0,,,,,,,,,93.5513793178834,None,4.0,7.439969035098329,93.5513793178834,None,93.5513793178834,None,93.5513793178834,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
3,Trial # 4,layer6-8_O11_to_O4.jpg,layer6-8/layer6-8_O11_to_O4.jpg,OO,layer6-8,0.0,3.0,3.0,3.0,,,,,,,,,103.48766062688082,None,3.0,3.318764485185966,103.48766062688082,None,103.48766062688082,None,103.48766062688082,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
4,Trial # 5,layer6-8_O8_to_T8.jpg,layer6-8/layer6-8_O8_to_T8.jpg,OT,layer6-8,0.0,4.0,4.0,4.0,,,,,,,,,107.70699439803138,None,4.0,4.791494756005704,107.70699439803138,None,107.70699439803138,None,107.70699439803138,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
5,Trial # 6,layer0-5_O11_to_O8.jpg,layer0-5/layer0-5_O11_to_O8.jpg,OO,layer0-5,0.0,5.0,5.0,5.0,,,,,,,,,114.84129928797483,None,1.0,3.245361388893798,114.84129928797483,None,114.84129928797483,None,114.84129928797483,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
6,Trial # 7,layer0-5_T10_to_T11.jpg,layer0-5/layer0-5_T10_to_T11.jpg,TT,layer0-5,0.0,6.0,6.0,6.0,,,,,,,,,119.02596204704604,None,1.0,1.7538739549927411,119.02596204704604,None,119.02596204704604,None,119.02596204704604,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
7,Trial # 8,layer9-17_O6_to_O9.jpg,layer9-17/layer9-17_O6_to_O9.jpg,OO,layer9-17,0.0,7.0,7.0,7.0,,,,,,,,,121.4613677780144,None,2.0,2.481551269069314,121.4613677780144,None,121.4613677780144,None,121.4613677780144,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
8,Trial # 9,layer6-8_O12_to_O9.jpg,layer6-8/layer6-8_O12_to_O9.jpg,OO,layer6-8,0.0,8.0,8.0,8.0,,,,,,,,,124.37771285907364,None,4.0,6.266716605052352,124.37771285907364,None,124.37771285907364,None,124.37771285907364,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
9,Trial # 10,layer0-5_O10_to_T2.jpg,layer0-5/layer0-5_O10_to_T2.jpg,OT,layer0-5,0.0,9.0,9.0,9.0,,,,,,,,,131.1128773749806,None,4.0,4.675815902883187,131.1128773749806,None,131.1128773749806,None,131.1128773749806,None,1,2022_Apr_14_1003,Semantic-hierachy,2021.1.2,59.81877519633524,
