,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,Unnamed: 33
0,Trial # 1,layer0-5_O2_to_T1.jpg,layer0-5/layer0-5_O2_to_T1.jpg,OT,layer0-5,0.0,0.0,0.0,0.0,,,,,,,,,62.34163439899567,None,1.0,35.99979302800057,62.34163439899567,None,62.34163439899567,None,62.34163439899567,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
1,Trial # 2,layer0-5_O11_to_T7.jpg,layer0-5/layer0-5_O11_to_T7.jpg,OT,layer0-5,0.0,1.0,1.0,1.0,,,,,,,,,102.9048452059942,None,1.0,10.364158304997543,102.9048452059942,None,102.9048452059942,None,102.9048452059942,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
2,Trial # 3,layer6-8_O3_to_O5.jpg,layer6-8/layer6-8_O3_to_O5.jpg,OO,layer6-8,0.0,2.0,2.0,2.0,,,,,,,,,115.72459496399824,None,4.0,9.933816173004743,115.72459496399824,None,115.72459496399824,None,115.72459496399824,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
3,Trial # 4,layer6-8_O11_to_O4.jpg,layer6-8/layer6-8_O11_to_O4.jpg,OO,layer6-8,0.0,3.0,3.0,3.0,,,,,,,,,127.99592638199827,None,4.0,18.51396590100194,127.99592638199827,None,127.99592638199827,None,127.99592638199827,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
4,Trial # 5,layer6-8_O8_to_T8.jpg,layer6-8/layer6-8_O8_to_T8.jpg,OT,layer6-8,0.0,4.0,4.0,4.0,,,,,,,,,148.1358936010001,None,4.0,26.449220130001777,148.1358936010001,None,148.1358936010001,None,148.1358936010001,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
5,Trial # 6,layer0-5_O11_to_O8.jpg,layer0-5/layer0-5_O11_to_O8.jpg,OO,layer0-5,0.0,5.0,5.0,5.0,,,,,,,,,175.07656033899548,None,1.0,19.44399961399904,175.07656033899548,None,175.07656033899548,None,175.07656033899548,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
6,Trial # 7,layer0-5_T10_to_T11.jpg,layer0-5/layer0-5_T10_to_T11.jpg,TT,layer0-5,0.0,6.0,6.0,6.0,,,,,,,,,201.8679449689953,None,1.0,4.892517508997116,201.8679449689953,None,201.8679449689953,None,201.8679449689953,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
7,Trial # 8,layer9-17_O6_to_O9.jpg,layer9-17/layer9-17_O6_to_O9.jpg,OO,layer9-17,0.0,7.0,7.0,7.0,,,,,,,,,207.904186369,None,2.0,2.423617597996781,207.904186369,None,207.904186369,None,207.904186369,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
8,Trial # 9,layer6-8_O12_to_O9.jpg,layer6-8/layer6-8_O12_to_O9.jpg,OO,layer6-8,0.0,8.0,8.0,8.0,,,,,,,,,211.47094238299903,None,3.0,2.360339901999396,211.47094238299903,None,211.47094238299903,None,211.47094238299903,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
9,Trial # 10,layer0-5_O10_to_T2.jpg,layer0-5/layer0-5_O10_to_T2.jpg,OT,layer0-5,0.0,9.0,9.0,9.0,,,,,,,,,214.355316661,None,4.0,8.810341265998431,214.355316661,None,214.355316661,None,214.355316661,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
10,Trial # 11,layer9-17_T10_to_T2.jpg,layer9-17/layer9-17_T10_to_T2.jpg,TT,layer9-17,0.0,10.0,10.0,10.0,,,,,,,,,224.75839320199884,None,2.0,10.62746821899782,224.75839320199884,None,224.75839320199884,None,224.75839320199884,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
11,Trial # 12,layer6-8_T6_to_T7.jpg,layer6-8/layer6-8_T6_to_T7.jpg,TT,layer6-8,0.0,11.0,11.0,11.0,,,,,,,,,244.81422569799903,None,3.0,7.961899353998888,244.81422569799903,None,244.81422569799903,None,244.81422569799903,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
12,Trial # 13,layer9-17_O10_to_T2.jpg,layer9-17/layer9-17_O10_to_T2.jpg,OT,layer9-17,0.0,12.0,12.0,12.0,,,,,,,,,256.1841280239969,None,2.0,4.24225871499948,256.1841280239969,None,256.1841280239969,None,256.1841280239969,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
13,Trial # 14,layer6-8_T4_to_T7.jpg,layer6-8/layer6-8_T4_to_T7.jpg,TT,layer6-8,0.0,13.0,13.0,13.0,,,,,,,,,260.68619259399566,None,3.0,2.542572852995363,260.68619259399566,None,260.68619259399566,None,260.68619259399566,None,1,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,
