,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,Unnamed: 33
0,Trial # 1,layer0-5_O2_to_T1.jpg,layer0-5/layer0-5_O2_to_T1.jpg,OT,layer0-5,0.0,0.0,0.0,0.0,,,,,,,,,45.74931995384395,None,1.0,10.073676211060956,45.74931995384395,None,45.74931995384395,None,45.74931995384395,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
1,Trial # 2,layer0-5_O11_to_T7.jpg,layer0-5/layer0-5_O11_to_T7.jpg,OT,layer0-5,0.0,1.0,1.0,1.0,,,,,,,,,72.89203481702134,None,1.0,6.597458785865456,72.89203481702134,None,72.89203481702134,None,72.89203481702134,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
2,Trial # 3,layer6-8_O3_to_O5.jpg,layer6-8/layer6-8_O3_to_O5.jpg,OO,layer6-8,0.0,2.0,2.0,2.0,,,,,,,,,80.30955393984914,None,4.0,3.0770214449148625,80.30955393984914,None,80.30955393984914,None,80.30955393984914,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
3,Trial # 4,layer6-8_O11_to_O4.jpg,layer6-8/layer6-8_O11_to_O4.jpg,OO,layer6-8,0.0,3.0,3.0,3.0,,,,,,,,,83.8949430019129,None,3.0,1.84982816898264,83.8949430019129,None,83.8949430019129,None,83.8949430019129,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
4,Trial # 5,layer6-8_O8_to_T8.jpg,layer6-8/layer6-8_O8_to_T8.jpg,OT,layer6-8,0.0,4.0,4.0,4.0,,,,,,,,,86.44566804193892,None,3.0,1.6770598678849638,86.44566804193892,None,86.44566804193892,None,86.44566804193892,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
5,Trial # 6,layer0-5_O11_to_O8.jpg,layer0-5/layer0-5_O11_to_O8.jpg,OO,layer0-5,0.0,5.0,5.0,5.0,,,,,,,,,88.74678240297362,None,1.0,2.624372258083895,88.74678240297362,None,88.74678240297362,None,88.74678240297362,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
6,Trial # 7,layer0-5_T10_to_T11.jpg,layer0-5/layer0-5_T10_to_T11.jpg,TT,layer0-5,0.0,6.0,6.0,6.0,,,,,,,,,91.6295776120387,None,1.0,1.510445657884702,91.6295776120387,None,91.6295776120387,None,91.6295776120387,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
7,Trial # 8,layer9-17_O6_to_O9.jpg,layer9-17/layer9-17_O6_to_O9.jpg,OO,layer9-17,0.0,7.0,7.0,7.0,,,,,,,,,93.3148638010025,None,2.0,2.026313084177673,93.3148638010025,None,93.3148638010025,None,93.3148638010025,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
8,Trial # 9,layer6-8_O12_to_O9.jpg,layer6-8/layer6-8_O12_to_O9.jpg,OO,layer6-8,0.0,8.0,8.0,8.0,,,,,,,,,95.59778836392798,None,3.0,1.6199045001994818,95.59778836392798,None,95.59778836392798,None,95.59778836392798,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
9,Trial # 10,layer0-5_O10_to_T2.jpg,layer0-5/layer0-5_O10_to_T2.jpg,OT,layer0-5,0.0,9.0,9.0,9.0,,,,,,,,,97.39827831601724,None,4.0,2.4182736449874938,97.39827831601724,None,97.39827831601724,None,97.39827831601724,None,1,2022_Apr_12_1603,Semantic-hierachy,2021.1.2,
