,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,Unnamed: 33
0,Trial # 1,layer0-5_O2_to_T1.jpg,layer0-5/layer0-5_O2_to_T1.jpg,OT,layer0-5,0.0,0.0,0.0,0.0,,,,,,,,,61.69450117717497,None,1.0,87.56791428499855,61.69450117717497,None,61.69450117717497,None,61.69450117717497,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
1,Trial # 2,layer0-5_O11_to_T7.jpg,layer0-5/layer0-5_O11_to_T7.jpg,OT,layer0-5,0.0,1.0,1.0,1.0,,,,,,,,,150.838437467115,None,1.0,25.97247590008192,150.838437467115,None,150.838437467115,None,150.838437467115,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
2,Trial # 3,layer6-8_O3_to_O5.jpg,layer6-8/layer6-8_O3_to_O5.jpg,OO,layer6-8,0.0,2.0,2.0,2.0,,,,,,,,,178.04692706419155,None,4.0,47.2519248588942,178.04692706419155,None,178.04692706419155,None,178.04692706419155,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
3,Trial # 4,layer6-8_O11_to_O4.jpg,layer6-8/layer6-8_O11_to_O4.jpg,OO,layer6-8,0.0,3.0,3.0,3.0,,,,,,,,,226.74523088312708,None,3.0,11.112989978166295,226.74523088312708,None,226.74523088312708,None,226.74523088312708,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
4,Trial # 5,layer6-8_O8_to_T8.jpg,layer6-8/layer6-8_O8_to_T8.jpg,OT,layer6-8,0.0,4.0,4.0,4.0,,,,,,,,,239.3833634511102,None,4.0,14.931156764971092,239.3833634511102,None,239.3833634511102,None,239.3833634511102,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
5,Trial # 6,layer0-5_O11_to_O8.jpg,layer0-5/layer0-5_O11_to_O8.jpg,OO,layer0-5,0.0,5.0,5.0,5.0,,,,,,,,,255.6209857030772,None,1.0,14.145702810958028,255.6209857030772,None,255.6209857030772,None,255.6209857030772,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
6,Trial # 7,layer0-5_T10_to_T11.jpg,layer0-5/layer0-5_T10_to_T11.jpg,TT,layer0-5,0.0,6.0,6.0,6.0,,,,,,,,,270.776318811113,None,1.0,6.346948469057679,270.776318811113,None,270.776318811113,None,270.776318811113,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
7,Trial # 8,layer9-17_O6_to_O9.jpg,layer9-17/layer9-17_O6_to_O9.jpg,OO,layer9-17,0.0,7.0,7.0,7.0,,,,,,,,,278.24471580307,None,2.0,2.61248282995075,278.24471580307,None,278.24471580307,None,278.24471580307,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
8,Trial # 9,layer6-8_O12_to_O9.jpg,layer6-8/layer6-8_O12_to_O9.jpg,OO,layer6-8,0.0,8.0,8.0,8.0,,,,,,,,,283.5464768409729,None,4.0,8.009021126199514,283.5464768409729,None,283.5464768409729,None,283.5464768409729,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
9,Trial # 10,layer0-5_O10_to_T2.jpg,layer0-5/layer0-5_O10_to_T2.jpg,OT,layer0-5,0.0,9.0,9.0,9.0,,,,,,,,,292.8325680610724,None,4.0,14.113150955876336,292.8325680610724,None,292.8325680610724,None,292.8325680610724,None,1,2022_Apr_10_1139,Semantic-hierachy,2021.1.2,
