,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,frameRate
10,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.2347627,None,157.2347627,None,157.2347627,None,2.0,0.659367864,157.2347627,None,157.2347627,None,1.0,1.148865827,157.4348434,None,157.2347627,None,2.0,1.489075258,157.9349199,None,157.2347627,None,space,0.256805089,1.512022742,None,157.2347627,None,157.2347627,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
11,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0347377,None,159.0347377,None,159.0347377,None,5.0,1.549303343,159.0347377,None,159.0347377,None,2.0,1.971926794,160.1364705,None,159.0347377,None,2.0,2.644277124,160.570266,None,159.0347377,None,space,0.177698127,2.673492775,None,159.0347377,None,159.0347377,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
12,Trial # 8,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0474.jpg,0,encoded_Group2_IMG_0474.jpg,,,,,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.9365112,None,161.9365112,None,161.9365112,None,1.0,0.978503761,161.9365112,None,161.9365112,None,1.0,1.601819872,162.4535844,None,161.9365112,None,1.0,2.1725281,163.0872531,None,161.9365112,None,space,0.175964759,2.198364265,None,161.9365112,None,161.9365112,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
13,Trial # 9,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_1506.jpg,0,encoded_Group2_IMG_1506.jpg,,,,,0.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.3531761,None,164.3531761,None,164.3531761,None,5.0,0.80091898,164.3531761,None,164.3531761,None,4.0,1.358286249,164.7033618,None,164.3531761,None,1.0,1.895445009,165.2709755,None,164.3531761,None,space,0.600705887,1.928364994,None,164.3531761,None,164.3531761,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
14,Trial # 10,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9789.jpg,1,Group1_IMG_9789.jpg,,,,,0.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.9381182,None,166.9381182,None,166.9381182,None,1.0,0.640577563,166.9381182,None,166.9381182,None,1.0,1.529727858,167.1218354,None,166.9381182,None,1.0,1.967990556,168.0219635,None,166.9381182,None,space,0.16659667,1.990174829,None,166.9381182,None,166.9381182,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
15,Trial # 11,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9778.jpg,1,Group1_IMG_9778.jpg,,,,,0.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.1547539,None,169.1547539,None,169.1547539,None,3.0,0.796543339,169.1547539,None,169.1547539,None,3.0,1.319165095,169.5058081,None,169.1547539,None,1.0,1.89131415,170.0390344,None,169.1547539,None,space,0.224182285,1.91828572,None,169.1547539,None,169.1547539,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
16,Trial # 12,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9813.jpg,1,Group1_IMG_9813.jpg,,,,,0.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3399847,None,171.3399847,None,171.3399847,None,1.0,0.761962718,171.3399847,None,171.3399847,None,1.0,1.286276631,171.6568971,None,171.3399847,None,1.0,1.857748424,172.1902419,None,171.3399847,None,space,0.408481017,1.885632237,None,171.3399847,None,171.3399847,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
17,Trial # 13,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0516.jpg,1,Group1_IMG_0516.jpg,,,,,0.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.706097,None,173.706097,None,173.706097,None,3.0,0.692768805,173.706097,None,173.706097,None,2.0,1.181579858,173.9399207,None,173.706097,None,6.0,1.719395948,174.4404768,None,173.706097,None,space,0.18421028,1.742445423,None,173.706097,None,173.706097,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
18,Trial # 14,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0038.jpg,0,encoded_Group2_IMG_0038.jpg,,,,,0.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6738892,None,175.6738892,None,175.6738892,None,3.0,0.764291586,175.6738892,None,175.6738892,None,2.0,1.187597153,175.9913253,None,175.6738892,None,2.0,1.758512374,176.4249817,None,175.6738892,None,space,0.157917367,1.787368037,None,175.6738892,None,175.6738892,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
19,Trial # 15,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_5984.jpg,1,Group1_IMG_5984.jpg,,,,,0.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6588036,None,177.6588036,None,177.6588036,None,1.0,0.709477718,177.6588036,None,177.6588036,None,1.0,1.630321074,177.9081845,None,177.6588036,None,1.0,2.069297903,178.8415861,None,177.6588036,None,space,0.186698221,2.093231376,None,177.6588036,None,177.6588036,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
20,Trial # 16,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0383.jpg,1,Group1_IMG_0383.jpg,,,,,0.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.9755768,None,179.9755768,None,179.9755768,None,3.0,0.642760374,179.9755768,None,179.9755768,None,3.0,1.098708953,180.1592347,None,179.9755768,None,3.0,1.570992783,180.6259058,None,179.9755768,None,space,0.112355595,1.594345654,None,179.9755768,None,179.9755768,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
21,Trial # 17,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0456.jpg,0,encoded_Group2_IMG_0456.jpg,,,,,0.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.7261989,None,181.7261989,None,181.7261989,None,3.0,0.643246099,181.7261989,None,181.7261989,None,2.0,1.016588552,181.9092935,None,181.7261989,None,2.0,1.423070859,182.2928783,None,181.7261989,None,space,0.22426774,1.446856454,None,181.7261989,None,181.7261989,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
22,Trial # 18,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_8390.jpg,0,encoded_Group2_IMG_8390.jpg,,,,,0.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.4267239,None,183.4267239,None,183.4267239,None,2.0,0.598062327,183.4267239,None,183.4267239,None,1.0,1.054629888,183.5765606,None,183.4267239,None,6.0,1.560266601,184.0426653,None,183.4267239,None,space,0.206347978,1.590035582,None,183.4267239,None,183.4267239,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
23,Trial # 19,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0011.jpg,1,Group1_IMG_0011.jpg,,,,,0.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.2947625,None,185.2947625,None,185.2947625,None,3.0,1.159563169,185.2947625,None,185.2947625,None,2.0,1.61605961,185.9953979,None,185.2947625,None,2.0,2.155754398,186.4607911,None,185.2947625,None,space,0.122546563,2.178966407,None,185.2947625,None,185.2947625,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
24,Trial # 20,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0328.jpg,0,encoded_Group2_IMG_0328.jpg,,,,,0.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.6275489,None,187.6275489,None,187.6275489,None,1.0,0.717040858,187.6275489,None,187.6275489,None,1.0,1.24126514,187.894665,None,187.6275489,None,1.0,1.71200875,188.4282881,None,187.6275489,None,space,0.143241118,1.743858278,None,187.6275489,None,187.6275489,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
25,Trial # 21,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0163.jpg,0,encoded_Group2_IMG_0163.jpg,,,,,0.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.5618319,None,189.5618319,None,189.5618319,None,4.0,1.077579961,189.5618319,None,189.5618319,None,4.0,1.534532361,190.1788155,None,189.5618319,None,2.0,2.106244649,190.6464724,None,189.5618319,None,space,0.153272418,2.131785221,None,189.5618319,None,189.5618319,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
26,Trial # 22,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9862.jpg,1,Group1_IMG_9862.jpg,,,,,0.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.8790248,None,191.8790248,None,191.8790248,None,1.0,0.697236283,191.8790248,None,191.8790248,None,1.0,1.187578609,192.1293302,None,191.8790248,None,1.0,1.625570779,192.6292772,None,191.8790248,None,space,0.206608092,1.654287151,None,191.8790248,None,191.8790248,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
27,Trial # 23,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0296.jpg,0,encoded_Group2_IMG_0296.jpg,,,,,0.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.7961865,None,193.7961865,None,193.7961865,None,4.0,0.711874751,193.7961865,None,193.7961865,None,3.0,1.233785262,194.0461612,None,193.7961865,None,3.0,1.638944836,194.5792134,None,193.7961865,None,space,0.169943004,1.664961373,None,193.7961865,None,193.7961865,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
28,Trial # 24,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0503.jpg,0,encoded_Group2_IMG_0503.jpg,,,,,0.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.6804199,None,195.6804199,None,195.6804199,None,4.0,0.69707066,195.6804199,None,195.6804199,None,2.0,1.187436421,195.9317723,None,195.6804199,None,2.0,1.626911945,196.4310738,None,195.6804199,None,space,0.15784377,1.653694207,None,195.6804199,None,195.6804199,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
29,Trial # 25,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9804.jpg,0,encoded_Group2_IMG_9804.jpg,,,,,0.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5313265,None,197.5313265,None,197.5313265,None,1.0,0.712008992,197.5313265,None,197.5313265,None,1.0,1.167872592,197.7818803,None,197.5313265,None,1.0,1.63949849,198.2472923,None,197.5313265,None,space,0.154962667,1.665972502,None,197.5313265,None,197.5313265,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
30,Trial # 26,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0391.jpg,1,Group1_IMG_0391.jpg,,,,,0.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.4149201,None,199.4149201,None,199.4149201,None,4.0,0.699996575,199.4149201,None,199.4149201,None,2.0,1.191764062,199.664974,None,199.4149201,None,1.0,1.596143366,200.1651839,None,199.4149201,None,space,0.152515865,1.625414183,None,199.4149201,None,199.4149201,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
31,Trial # 27,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_3584.jpg,0,encoded_Group2_IMG_3584.jpg,,,,,0.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2325155,None,201.2325155,None,201.2325155,None,3.0,0.677841009,201.2325155,None,201.2325155,None,1.0,1.16719791,201.4494867,None,201.2325155,None,2.0,1.637864449,201.9496866,None,201.2325155,None,space,0.094290345,1.663504547,None,201.2325155,None,201.2325155,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
32,Trial # 28,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0434.jpg,0,encoded_Group2_IMG_0434.jpg,,,,,0.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.015398,None,203.015398,None,203.015398,None,4.0,0.654302128,203.015398,None,203.015398,None,3.0,1.144227516,203.2165356,None,203.015398,None,2.0,1.68114832,203.7161663,None,203.015398,None,space,0.068037801,1.701370213,None,203.015398,None,203.015398,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
33,Trial # 29,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9575.jpg,0,encoded_Group2_IMG_9575.jpg,,,,,0.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.8495082,None,204.8495082,None,204.8495082,None,2.0,0.704334622,204.8495082,None,204.8495082,None,1.0,1.160194437,205.1010989,None,204.8495082,None,1.0,1.565938044,205.5667681,None,204.8495082,None,space,0.077977689,1.600252207,None,204.8495082,None,204.8495082,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
34,Trial # 30,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_1025.jpg,0,encoded_Group2_IMG_1025.jpg,,,,,0.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5672975,None,206.5672975,None,206.5672975,None,1.0,0.665678363,206.5672975,None,206.5672975,None,1.0,1.121405119,206.7841788,None,206.5672975,None,1.0,1.59290165,207.2508322,None,206.5672975,None,space,0.03259816,1.621565175,None,206.5672975,None,206.5672975,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
35,Trial # 31,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0502.jpg,1,Group1_IMG_0502.jpg,,,,,0.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.2675525,None,208.2675525,None,208.2675525,None,4.0,0.792983168,208.2675525,None,208.2675525,None,2.0,1.216278331,208.6006478,None,208.2675525,None,2.0,1.655358443,209.0347411,None,208.2675525,None,space,0.082023886,1.680057992,None,208.2675525,None,208.2675525,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
36,Trial # 32,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0182.jpg,1,Group1_IMG_0182.jpg,,,,,0.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0681207,None,210.0681207,None,210.0681207,None,5.0,0.712658687,210.0681207,None,210.0681207,None,5.0,1.202469418,210.3352238,None,210.0681207,None,2.0,1.640289692,210.8358446,None,210.0681207,None,space,0.073347234,1.667526544,None,210.0681207,None,210.0681207,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
37,Trial # 33,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_2728.jpg,0,encoded_Group2_IMG_2728.jpg,,,,,0.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.869001,None,211.869001,None,211.869001,None,1.0,1.144795384,211.869001,None,211.869001,None,1.0,1.533629291,212.5524546,None,211.869001,None,1.0,2.039762624,212.9526276,None,211.869001,None,space,0.065777205,2.064213774,None,211.869001,None,211.869001,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
38,Trial # 34,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_4867.jpg,0,encoded_Group2_IMG_4867.jpg,,,,,0.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0187052,None,214.0187052,None,214.0187052,None,4.0,1.027805215,214.0187052,None,214.0187052,None,2.0,1.668707389,214.5857336,None,214.0187052,None,3.0,2.106951885,215.2368001,None,214.0187052,None,space,0.143605372,2.133419535,None,214.0187052,None,214.0187052,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
39,Trial # 35,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9894.jpg,1,Group1_IMG_9894.jpg,,,,,0.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.3534113,None,216.3534113,None,216.3534113,None,1.0,0.744188711,216.3534113,None,216.3534113,None,1.0,1.200582736,216.6368545,None,216.3534113,None,1.0,1.738919699,217.1033111,None,216.3534113,None,space,0.112709908,1.763964594,None,216.3534113,None,216.3534113,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
40,Trial # 36,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0444.jpg,0,encoded_Group2_IMG_0444.jpg,,,,,0.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.253975,None,218.253975,None,218.253975,None,3.0,0.746056568,218.253975,None,218.253975,None,1.0,1.268335941,218.5541633,None,218.253975,None,1.0,1.773710115,219.0871614,None,218.253975,None,space,0.090013321,1.80032734,None,218.253975,None,218.253975,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
41,Trial # 37,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_2656.jpg,1,Group1_IMG_2656.jpg,,,,,0.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.1885204,None,220.1885204,None,220.1885204,None,1.0,0.727354745,220.1885204,None,220.1885204,None,1.0,1.249841124,220.4557955,None,220.1885204,None,1.0,1.756705431,220.9882637,None,220.1885204,None,space,0.093250282,1.778887604,None,220.1885204,None,220.1885204,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
