,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
87,Trial # 83,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9702.jpg,0,encoded_Group2_IMG_9702.jpg,,,,,0.0,82.0,82.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.2954091109568,None,1001.2954091109568,None,1001.2954091109568,None,2.0,4.483172390027903,1001.2954091109568,None,1001.2954091109568,None,1.0,3.4885543200653046,1003.4800804239932,None,1001.2954091109568,None,1.0,5.161226805998012,1004.3472215509972,None,1001.2954091109568,None,space,1.263549079070799,5.190693147480488,None,1001.2954091109568,None,1001.2954091109568,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
88,Trial # 84,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0357.jpg,1,Group1_IMG_0357.jpg,,,,,0.0,83.0,83.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.7636533799814,None,1007.7636533799814,None,1007.7636533799814,None,1.0,2.8627984899794683,1007.7636533799814,None,1007.7636533799814,None,1.0,3.7025003529852256,1010.1818563720444,None,1007.7636533799814,None,1.0,5.040195567999035,1011.0315009349724,None,1007.7636533799814,None,space,2.527822806034237,5.068467671633698,None,1007.7636533799814,None,1007.7636533799814,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
89,Trial # 85,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9772.jpg,1,Group1_IMG_9772.jpg,,,,,0.0,84.0,84.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.4001922300084,None,1015.4001922300084,None,1015.4001922300084,None,6.0,3.061289336998016,1015.4001922300084,None,1015.4001922300084,None,5.0,4.051383390906267,1017.999868361978,None,1015.4001922300084,None,6.0,5.023204125929624,1019.0018728970316,None,1015.4001922300084,None,space,0.7324046189896762,5.050427753594704,None,1015.4001922300084,None,1015.4001922300084,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
90,Trial # 86,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0482.jpg,1,Group1_IMG_0482.jpg,,,,,0.0,85.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.2342144059947,None,1021.2342144059947,None,1021.2342144059947,None,1.0,3.311081771971658,1021.2342144059947,None,1021.2342144059947,None,1.0,4.100176264997572,1024.0863006419968,None,1021.2342144059947,None,1.0,4.739463294041343,1024.8855691640638,None,1021.2342144059947,None,space,0.9812785140238702,4.764924216666259,None,1021.2342144059947,None,1021.2342144059947,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
91,Trial # 87,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0299.jpg,1,Group1_IMG_0299.jpg,,,,,0.0,86.0,86.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.0033131330274,None,1027.0033131330274,None,1027.0033131330274,None,6.0,2.997107982053421,1027.0033131330274,None,1027.0033131330274,None,6.0,6.987220525043085,1029.5555726300229,None,1027.0033131330274,None,6.0,9.026373990927825,1033.5559729790548,None,1027.0033131330274,None,space,1.7125058299861848,9.052234736620449,None,1027.0033131330274,None,1027.0033131330274,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
92,Trial # 88,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0301.jpg,0,encoded_Group2_IMG_0301.jpg,,,,,0.0,87.0,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.8068285039626,None,1037.8068285039626,None,1037.8068285039626,None,6.0,2.2658075540093705,1037.8068285039626,None,1037.8068285039626,None,6.0,3.28723089909181,1039.6246810259763,None,1037.8068285039626,None,6.0,5.360604764078744,1040.6570302209584,None,1037.8068285039626,None,space,1.3850886020809412,5.388604832696728,None,1037.8068285039626,None,1037.8068285039626,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
93,Trial # 89,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_5136.jpg,0,encoded_Group2_IMG_5136.jpg,,,,,0.0,88.0,88.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.6086690729717,None,1044.6086690729717,None,1044.6086690729717,None,6.0,3.597767919069156,1044.6086690729717,None,1044.6086690729717,None,5.0,4.587704458041117,1047.7602578550575,None,1044.6086690729717,None,7.0,5.858643408981152,1048.7598130230326,None,1044.6086690729717,None,space,1.121494160965085,5.890026464592665,None,1044.6086690729717,None,1044.6086690729717,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
94,Trial # 90,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0460.jpg,1,Group1_IMG_0460.jpg,,,,,0.0,89.0,89.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.6435368079692,None,1051.6435368079692,None,1051.6435368079692,None,6.0,15.350139556918291,1051.6435368079692,None,1051.6435368079692,None,5.0,16.239414702053182,1066.5487764930583,None,1051.6435368079692,None,6.0,17.978246707003564,1067.4490999289555,None,1051.6435368079692,None,space,0.7102100319461897,18.005592038622126,None,1051.6435368079692,None,1051.6435368079692,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
95,Trial # 91,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0068.jpg,0,encoded_Group2_IMG_0068.jpg,,,,,0.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.4002791770035,None,1070.4002791770035,None,1070.4002791770035,None,6.0,2.947302341926843,1070.4002791770035,None,1070.4002791770035,None,5.0,4.637816670932807,1072.9009037240176,None,1070.4002791770035,None,6.0,5.776272094924934,1074.6019657059803,None,1070.4002791770035,None,space,1.1097484329948202,5.805438653565943,None,1070.4002791770035,None,1070.4002791770035,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
96,Trial # 92,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0337.jpg,1,Group1_IMG_0337.jpg,,,,,0.0,91.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077.3512511249864,None,1077.3512511249864,None,1077.3512511249864,None,2.0,2.296724902931601,1077.3512511249864,None,1077.3512511249864,None,1.0,2.9856068789958954,1079.2034806800075,None,1077.3512511249864,None,1.0,3.5916893900139257,1079.9027900389628,None,1077.3512511249864,None,space,0.8216605439083651,3.6183526526438072,None,1077.3512511249864,None,1077.3512511249864,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
