,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,Unnamed: 94
243,Trial # 89,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_8924.jpg,0,encoded_Group2_IMG_8924.jpg,,,,,,,,,0.0,88.0,88.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.7360617739614,None,1451.7360617739614,None,1451.7360617739614,None,5.0,1.7273859928827733,1451.7360617739614,None,1451.7360617739614,None,3.0,3.782142428914085,1453.0043059729503,None,1451.7360617739614,None,2.0,2.821492635877803,1453.6049050698057,None,1451.7360617739614,None,space,1.0700336690060794,2.845711827278137,None,1451.7360617739614,None,1451.7360617739614,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
244,Trial # 90,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0360.jpg,1,Group1_IMG_0360.jpg,,,,,,,,,0.0,89.0,89.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.703849565005,None,1455.703849565005,None,1455.703849565005,None,2.0,1.6228186280932275,1455.703849565005,None,1455.703849565005,None,2.0,3.647029216168448,1456.871096605901,None,1455.703849565005,None,1.0,5.084322499111295,1458.905456000939,None,1455.703849565005,None,space,0.1875761090777814,5.1057039552833885,None,1455.703849565005,None,1455.703849565005,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
245,Trial # 91,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0523.jpg,0,encoded_Group2_IMG_0523.jpg,,,,,,,,,0.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.039167425828,None,1461.039167425828,None,1461.039167425828,None,5.0,2.5770830120891333,1461.039167425828,None,1461.039167425828,None,2.0,3.683938147965818,1461.973572891904,None,1461.039167425828,None,1.0,4.0882875139359385,1464.2736195598263,None,1461.039167425828,None,space,0.2531588559504598,4.111180072184652,None,1461.039167425828,None,1461.039167425828,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
246,Trial # 92,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0518.jpg,1,Group1_IMG_0518.jpg,,,,,,,,,0.0,91.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465.440224756021,None,1465.440224756021,None,1465.440224756021,None,5.0,1.6577743489760906,1465.440224756021,None,1465.440224756021,None,2.0,2.1471811151131988,1466.6421176069416,None,1465.440224756021,None,2.0,2.6202542560640723,1467.1412178548053,None,1465.440224756021,None,space,0.2215703399851918,2.644309480441734,None,1465.440224756021,None,1465.440224756021,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
247,Trial # 93,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0372.jpg,0,encoded_Group2_IMG_0372.jpg,,,,,,,,,0.0,92.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.3424900309185,None,1468.3424900309185,None,1468.3424900309185,None,1.0,1.376456351019442,1468.3424900309185,None,1468.3424900309185,None,1.0,1.7318924099672586,1469.2587502098177,None,1468.3424900309185,None,4.0,2.7704661961179227,1469.6253998780155,None,1468.3424900309185,None,space,0.1632912589702755,2.794876773376018,None,1468.3424900309185,None,1468.3424900309185,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
248,Trial # 94,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_9761.jpg,0,encoded_Group2_IMG_9761.jpg,,,,,,,,,0.0,93.0,93.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.325313657988,None,1471.325313657988,None,1471.325313657988,None,4.0,1.3944123508408666,1471.325313657988,None,1471.325313657988,None,1.0,1.8162531519774348,1472.2597419708036,None,1471.325313657988,None,2.0,2.654105046065524,1472.694080068031,None,1471.325313657988,None,space,0.1676277799997478,2.6786915753036737,None,1471.325313657988,None,1471.325313657988,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
249,Trial # 95,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_2690.jpg,1,Group1_IMG_2690.jpg,,,,,,,,,0.0,94.0,94.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.227405595826,None,1474.227405595826,None,1474.227405595826,None,4.0,0.8391332549508661,1474.227405595826,None,1474.227405595826,None,2.0,1.3614715619478377,1474.6109786690213,None,1474.227405595826,None,3.0,1.735036661149934,1475.1437395778485,None,1474.227405595826,None,space,0.1764840339310467,1.7548142361920327,None,1474.227405595826,None,1474.227405595826,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
250,Trial # 96,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_9855.jpg,1,Group1_IMG_9855.jpg,,,,,,,,,0.0,95.0,95.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.2108625059482,None,1476.2108625059482,None,1476.2108625059482,None,1.0,1.3553926781751215,1476.2108625059482,None,1476.2108625059482,None,1.0,1.7119617050047964,1477.1114898708183,None,1476.2108625059482,None,3.0,2.050363806076348,1477.4782154038548,None,1476.2108625059482,None,space,0.562626481987536,2.0707564293406904,None,1476.2108625059482,None,1476.2108625059482,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
251,Trial # 97,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0470.jpg,0,encoded_Group2_IMG_0470.jpg,,,,,,,,,0.0,96.0,96.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.87792377593,None,1478.87792377593,None,1478.87792377593,None,1.0,1.2254233330022544,1478.87792377593,None,1478.87792377593,None,1.0,2.047875262796879,1479.6450980890077,None,1478.87792377593,None,4.0,2.6862552859820426,1480.478242694866,None,1478.87792377593,None,space,0.1743737498763948,2.7108853585086763,None,1478.87792377593,None,1478.87792377593,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
252,Trial # 98,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_1191.jpg,0,encoded_Group2_IMG_1191.jpg,,,,,,,,,0.0,97.0,97.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.812148480909,None,1481.812148480909,None,1481.812148480909,None,5.0,1.3935780471656471,1481.812148480909,None,1481.812148480909,None,2.0,1.9158215560019016,1482.7467004950158,None,1481.812148480909,None,2.0,2.3542440680321306,1483.2797040988223,None,1481.812148480909,None,space,0.2216721519362181,2.3784878505393863,None,1481.812148480909,None,1481.812148480909,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
