,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,Unnamed: 94
0,,,,,,,,,,,,,,,,,12.376736544072628,None,139.9835077279713,None,153.1419051908888,None,space,2.115857568802312,158.1103417999111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,160.71027912106365,None,160.71027912106365,None,223.4470018008724,None,223.4470018008724,None,230.398674152093,None,230.398674152093,None,230.398674152093,None,space,7.14758319593966,230.398674152093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
2,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.398674152093,None,237.5678675500676,None,243.5328788158949,None,243.5328788158949,None,243.5328788158949,None,1.0,229.8611504740548,243.5328788158949,None,243.5328788158949,None,4.0,231.15138616599145,388.8942602330353,None,243.5328788158949,None,4.0,233.2565780361183,474.2194647870492,None,243.5328788158949,None,space,-96.63643681397662,233.2791990488768,None,243.5328788158949,None,243.5328788158949,None,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
3,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.8704564329237,None,476.8704564329237,None,476.8704564329237,None,1.0,2.5851041830610484,476.8704564329237,None,476.8704564329237,None,1.0,3.941771716112271,479.00476565002464,None,476.8704564329237,None,1.0,60.26357138995081,480.37189278099686,None,476.8704564329237,None,space,4.07537929690443,60.29551055864431,None,476.8704564329237,None,476.8704564329237,None,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
4,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.3405471600126,None,541.3405471600126,None,541.3405471600126,None,5.0,7.694993185112253,541.3405471600126,None,541.3405471600126,None,6.0,11.15169076086022,548.577164046932,None,541.3405471600126,None,2.0,13.958699259208515,552.0434800679795,None,541.3405471600126,None,space,0.4151139969471842,13.981054331408814,None,541.3405471600126,None,541.3405471600126,None,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
5,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.1652128470596,None,568.1652128470596,None,568.1652128470596,None,1.0,5.446145755937323,568.1652128470596,None,568.1652128470596,None,1.0,7.168887204956263,573.1681552350055,None,568.1652128470596,None,1.0,9.440351724857464,574.9014416069258,None,568.1652128470596,None,space,0.3791374680586159,9.471313796937466,None,568.1652128470596,None,568.1652128470596,None,555.7445400820579,None,555.7445400820579,None,555.7445400820579,None,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
6,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.0686286760028,None,578.0686286760028,None,578.0686286760028,None,3.0,4.809566447045654,578.0686286760028,None,578.0686286760028,None,3.0,7.649547090986744,582.420128819067,None,578.0686286760028,None,2.0,8.95666982815601,585.2707199000288,None,578.0686286760028,None,space,0.1604379310738295,8.97865930129774,None,578.0686286760028,None,578.0686286760028,None,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
7,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.2370648139622,None,587.2370648139622,None,587.2370648139622,None,1.0,2.394904081011191,587.2370648139622,None,587.2370648139622,None,1.0,2.88436535699293,589.1725380870048,None,587.2370648139622,None,1.0,3.3564746961928904,589.6729118339717,None,587.2370648139622,None,space,0.1198400880675762,3.3826435934752226,None,587.2370648139622,None,587.2370648139622,None,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
8,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.7728874930181,None,590.7728874930181,None,590.7728874930181,None,2.0,2.574056315934285,590.7728874930181,None,590.7728874930181,None,2.0,2.963889541104436,592.8891257559881,None,590.7728874930181,None,2.0,3.368146921042353,593.2907107039355,None,590.7728874930181,None,space,0.1208124000113457,3.3925591052975506,None,590.7728874930181,None,590.7728874930181,None,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
9,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.3229713658802,None,594.3229713658802,None,594.3229713658802,None,1.0,1.676499149063602,594.3229713658802,None,594.3229713658802,None,1.0,1.9985403730534017,595.5411718708929,None,594.3229713658802,None,1.0,2.337373253889382,595.8739289110526,None,594.3229713658802,None,space,0.1394739979878068,2.362365728244185,None,594.3229713658802,None,594.3229713658802,None,,,,,,,,,1,2022_Apr_07_1616,SAR-soap,2021.1.2,
