,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
0,,,,,,,,,,,,,,,,,30.441634999937374,None,410.9427112559788,None,420.4623250819277,None,space,21.97752286004834,425.4302000849275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,447.9029334930237,None,447.9029334930237,None,451.9046081089182,None,451.9046081089182,None,456.4057122209342,None,456.4057122209342,None,456.4057122209342,None,space,3.5940117680002004,456.4057122209342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
2,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.4057122209342,None,460.02450321393553,None,464.0924978419207,None,464.0924978419207,None,464.0924978419207,None,4.0,18.582376466016285,464.0924978419207,None,464.0924978419207,None,3.0,21.99065932095982,482.1969087469624,None,464.0924978419207,None,5.0,25.26236175501253,485.6147719499422,None,464.0924978419207,None,space,2.494352853042073,25.28765622980427,None,464.0924978419207,None,464.0924978419207,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
3,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.9334895500215,None,491.9334895500215,None,491.9334895500215,None,1.0,10.888867681031115,491.9334895500215,None,491.9334895500215,None,1.0,14.613764040987007,502.3701113329735,None,491.9334895500215,None,1.0,15.785407842020504,506.10475324094296,None,491.9334895500215,None,space,1.4256938640028238,15.819622408947907,None,491.9334895500215,None,491.9334895500215,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
4,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.2553543399554,None,509.2553543399554,None,509.2553543399554,None,3.0,5.577621291973628,509.2553543399554,None,509.2553543399554,None,3.0,7.933044214034453,514.3752721919445,None,509.2553543399554,None,5.0,9.439321132027544,516.7414743249537,None,509.2553543399554,None,space,1.4956435629865157,9.461378452018836,None,509.2553543399554,None,509.2553543399554,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
5,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.8613088589627,None,527.8613088589627,None,527.8613088589627,None,2.0,18.772865024977364,527.8613088589627,None,527.8613088589627,None,1.0,22.13042398600373,546.1841050949879,None,527.8613088589627,None,1.0,23.26977035100572,549.5515502829803,None,527.8613088589627,None,space,1.2279030539793894,23.30249048897531,None,527.8613088589627,None,527.8613088589627,None,520.2098112599924,None,520.2098112599924,None,520.2098112599924,None,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
6,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.4187419200316,None,552.4187419200316,None,552.4187419200316,None,2.0,3.2596450530691072,552.4187419200316,None,552.4187419200316,None,2.0,8.433870446984656,555.2208554180106,None,552.4187419200316,None,3.0,10.838477946002968,560.4048531189328,None,552.4187419200316,None,space,1.823045086930506,9.99464882502798,None,552.4187419200316,None,552.4187419200316,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
7,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.2556691849604,None,564.2556691849604,None,564.2556691849604,None,1.0,5.1966793009778485,564.2556691849604,None,564.2556691849604,None,1.0,6.619722119998187,569.0080089429393,None,564.2556691849604,None,1.0,9.16025352210272,570.441266285954,None,564.2556691849604,None,space,0.9863206609152256,9.184698201017454,None,564.2556691849604,None,564.2556691849604,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
8,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.4766408629948,None,574.4766408629948,None,574.4766408629948,None,2.0,6.108182637952268,574.4766408629948,None,574.4766408629948,None,1.0,11.28241015295498,580.1279128729366,None,574.4766408629948,None,3.0,14.38851642597001,585.3133096849779,None,574.4766408629948,None,space,0.7076326960232109,14.410629917983895,None,574.4766408629948,None,574.4766408629948,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
9,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.647736615967,None,589.647736615967,None,589.647736615967,None,1.0,2.126576644019224,589.647736615967,None,589.647736615967,None,1.0,2.882423912989907,591.3146409619367,None,589.647736615967,None,1.0,3.722387520014309,592.0818364599254,None,589.647736615967,None,space,0.8780694609740749,3.746014859876595,None,589.647736615967,None,589.647736615967,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
10,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.3152445619926,None,594.3152445619926,None,594.3152445619926,None,1.0,2.0774297669995576,594.3152445619926,None,594.3152445619926,None,1.0,14.320294317090884,595.9332759039244,None,594.3152445619926,None,2.0,17.792885490925983,608.1861805779627,None,594.3152445619926,None,space,0.8915248399134725,17.817433841060847,None,594.3152445619926,None,594.3152445619926,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
11,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0538171909284,None,613.0538171909284,None,613.0538171909284,None,3.0,27.233376531978134,613.0538171909284,None,613.0538171909284,None,2.0,28.90649351303,617.0721147749573,None,613.0538171909284,None,4.0,31.880150187993426,641.5139352909755,None,613.0538171909284,None,space,0.5834505950333551,31.90185593778733,None,613.0538171909284,None,613.0538171909284,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
12,Trial # 8,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0474.jpg,0,encoded_Group2_IMG_0474.jpg,,,,,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.5816055359319,None,645.5816055359319,None,645.5816055359319,None,1.0,6.226683109998703,645.5816055359319,None,645.5816055359319,None,1.0,6.949093014001846,651.3505057089496,None,645.5816055359319,None,1.0,7.589009973919019,652.0828003189526,None,645.5816055359319,None,space,0.8768547229701653,7.611514299875125,None,645.5816055359319,None,645.5816055359319,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
13,Trial # 9,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_1506.jpg,0,encoded_Group2_IMG_1506.jpg,,,,,0.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.117759427987,None,654.117759427987,None,654.117759427987,None,4.0,3.643040700000711,654.117759427987,None,654.117759427987,None,4.0,5.232556342030875,657.3019575619837,None,654.117759427987,None,4.0,8.305952993920073,658.9017554799793,None,654.117759427987,None,space,0.6633213699096814,8.33015656284988,None,654.117759427987,None,654.117759427987,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
14,Trial # 10,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9789.jpg,1,Group1_IMG_9789.jpg,,,,,0.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.135808990919,None,663.135808990919,None,663.135808990919,None,1.0,1.7955688000656664,663.135808990919,None,663.135808990919,None,1.0,4.151137889013626,664.4709061079193,None,663.135808990919,None,1.0,6.491028579999693,666.8379322940018,None,663.135808990919,None,space,0.9652991489274428,6.515916302916594,None,663.135808990919,None,663.135808990919,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
15,Trial # 11,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9778.jpg,1,Group1_IMG_9778.jpg,,,,,0.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.6215768349357,None,670.6215768349357,None,670.6215768349357,None,3.0,2.2612166759790853,670.6215768349357,None,670.6215768349357,None,3.0,4.518397548934445,672.4400401499588,None,670.6215768349357,None,4.0,5.923620926099829,674.7064365829574,None,670.6215768349357,None,space,0.4692961500259116,5.951317164930515,None,670.6215768349357,None,670.6215768349357,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
16,Trial # 12,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9813.jpg,1,Group1_IMG_9813.jpg,,,,,0.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.1075201289495,None,677.1075201289495,None,677.1075201289495,None,1.0,1.7604554489953443,677.1075201289495,None,677.1075201289495,None,1.0,6.617667421931401,678.4075242800172,None,677.1075201289495,None,1.0,7.590206332970411,683.2760620679474,None,677.1075201289495,None,space,0.7977391199674457,7.615964780910872,None,677.1075201289495,None,677.1075201289495,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
17,Trial # 13,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0516.jpg,1,Group1_IMG_0516.jpg,,,,,0.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.5270510389237,None,685.5270510389237,None,685.5270510389237,None,1.0,2.1960808739531785,685.5270510389237,None,685.5270510389237,None,1.0,2.918592819012701,687.2773426889908,None,685.5270510389237,None,3.0,4.2580822500167415,688.0102856259327,None,685.5270510389237,None,space,0.960134926950559,4.284246809082106,None,685.5270510389237,None,685.5270510389237,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
18,Trial # 14,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0038.jpg,0,encoded_Group2_IMG_0038.jpg,,,,,0.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.8122683429392,None,690.8122683429392,None,690.8122683429392,None,1.0,1.826234005042352,690.8122683429392,None,690.8122683429392,None,1.0,3.117159235989675,692.1783755009528,None,690.8122683429392,None,2.0,6.289151804987341,693.4788538960274,None,690.8122683429392,None,space,2.2163078249432147,4.947304034954868,None,690.8122683429392,None,690.8122683429392,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
19,Trial # 15,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_5984.jpg,1,Group1_IMG_5984.jpg,,,,,0.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.9964604700217,None,697.9964604700217,None,697.9964604700217,None,1.0,1.6956970050232485,697.9964604700217,None,697.9964604700217,None,1.0,2.5187027050415054,699.2483867800329,None,697.9964604700217,None,1.0,3.1570004479726776,700.081634599017,None,697.9964604700217,None,space,0.6381261890055612,3.183825743966736,None,697.9964604700217,None,697.9964604700217,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
20,Trial # 16,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0383.jpg,1,Group1_IMG_0383.jpg,,,,,0.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.8816233789548,None,701.8816233789548,None,701.8816233789548,None,2.0,2.908289187005721,701.8816233789548,None,701.8816233789548,None,2.0,6.065302392933518,704.3337211490143,None,701.8816233789548,None,4.0,9.204318115022032,706.2992655059788,None,701.8816233789548,None,space,2.2436508800601587,7.526600822922774,None,701.8816233789548,None,701.8816233789548,None,,,,,,,,,1,2022_Mar_31_1536,SAR-soap,2021.1.2,60.15914345053484,
