,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,Unnamed: 94
0,,,,,,,,,,,,,,,,,15.725075270980597,None,31.50179336604197,None,46.32351950602606,None,space,13.541634789085949,51.29104499996174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,65.32896418101154,None,65.32896418101154,None,72.71586194797419,None,72.71586194797419,None,85.98512362397742,None,85.98512362397742,None,85.98512362397742,None,space,21.247543042059988,85.98512362397742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
2,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.98512362397742,None,107.25926617195364,None,110.52662448200864,None,110.52662448200864,None,110.52662448200864,None,5.0,114.5086293569766,110.52662448200864,None,110.52662448200864,None,2.0,129.4512058829423,224.56152037193533,None,110.52662448200864,None,4.0,135.92470801400486,239.5171222499339,None,110.52662448200864,None,space,-54.91944831504952,135.94919542316347,None,110.52662448200864,None,110.52662448200864,None,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
3,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.535221950966,None,246.535221950966,None,246.535221950966,None,2.0,15.0165781310061,246.535221950966,None,246.535221950966,None,1.0,18.98967943899333,261.1065744840307,None,246.535221950966,None,2.0,22.896503377938643,265.09077517001424,None,246.535221950966,None,space,1.8817463469458744,22.92419176711701,None,246.535221950966,None,246.535221950966,None,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
4,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.4264160350431,None,271.4264160350431,None,271.4264160350431,None,6.0,11.509335836046375,271.4264160350431,None,271.4264160350431,None,3.0,38.88859865791164,282.49697134504095,None,271.4264160350431,None,6.0,43.228198532015085,309.8884965160396,None,271.4264160350431,None,space,1.5392852979712188,43.2635050881654,None,271.4264160350431,None,271.4264160350431,None,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
5,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.3613722129958,None,330.3613722129958,None,330.3613722129958,None,4.0,5.449735939968377,330.3613722129958,None,330.3613722129958,None,2.0,10.122849931940436,335.3628983659437,None,330.3613722129958,None,3.0,15.495833521010354,340.0470054419711,None,330.3613722129958,None,space,2.450789088034071,15.525786353857256,None,330.3613722129958,None,330.3613722129958,None,316.2562506359536,None,316.2562506359536,None,316.2562506359536,None,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
6,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.4174784240313,None,348.4174784240313,None,348.4174784240313,None,4.0,7.709533783956431,348.4174784240313,None,348.4174784240313,None,4.0,44.39367663604207,355.66873639903497,None,348.4174784240313,None,3.0,51.69982008694205,367.3225361070363,None,348.4174784240313,None,space,0.8401010390371084,51.72404825792182,None,348.4174784240313,None,348.4174784240313,None,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
7,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.04925036698114,None,401.04925036698114,None,401.04925036698114,None,2.0,31.231066034990363,401.04925036698114,None,401.04925036698114,None,2.0,38.85518025106285,431.8264853860019,None,401.04925036698114,None,2.0,43.828903650981374,439.4617768470198,None,401.04925036698114,None,space,2.5082933860830963,43.84812471608166,None,401.04925036698114,None,401.04925036698114,None,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
8,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.4810066729551,None,447.4810066729551,None,447.4810066729551,None,4.0,5.191079696989618,447.4810066729551,None,447.4810066729551,None,3.0,13.248758579022253,452.2169025669573,None,447.4810066729551,None,3.0,16.15589406096842,460.28500528796576,None,447.4810066729551,None,space,1.671746778069064,16.17848828516435,None,447.4810066729551,None,447.4810066729551,None,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
9,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.4022439030232,None,465.4022439030232,None,465.4022439030232,None,2.0,22.38804404390976,465.4022439030232,None,465.4022439030232,None,1.0,26.995069004013203,487.3434168359963,None,465.4022439030232,None,2.0,33.635658312938176,491.9610310950084,None,465.4022439030232,None,space,2.7723548921057954,33.663889309740625,None,465.4022439030232,None,465.4022439030232,None,,,,,,,,,1,2022_Mar_31_1055,SAR-soap,2021.1.2,
