,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,Unnamed: 94
0,,,,,,,,,,,,,,,,,412.955719823949,None,421.18404574878514,None,433.7530213305727,None,space,87.59134702105075,438.7212055688724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,526.799053103663,None,526.799053103663,None,535.6026726653799,None,535.6026726653799,None,543.50404036697,None,543.50404036697,None,543.50404036697,None,space,21.4644675757736,543.50404036697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
2,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.50404036697,None,564.9950360301882,None,568.0115979816765,None,568.0115979816765,None,568.0115979816765,None,6.0,62.934784590266645,568.0115979816765,None,568.0115979816765,None,5.0,82.36342485342175,627.1631184332073,None,568.0115979816765,None,6.0,85.50259797181934,649.9210486141965,None,568.0115979816765,None,space,-31.42893434874713,85.53080972936004,None,568.0115979816765,None,568.0115979816765,None,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
3,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.6213366137818,None,653.6213366137818,None,653.6213366137818,None,1.0,6.9235460218042135,653.6213366137818,None,653.6213366137818,None,1.0,12.147330335341394,660.0903755445033,None,653.6213366137818,None,1.0,18.153986901976168,665.3251059278846,None,653.6213366137818,None,space,3.0667935591191053,18.172907679341733,None,653.6213366137818,None,653.6213366137818,None,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
4,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.0287520186976,None,675.0287520186976,None,675.0287520186976,None,4.0,7.35496358666569,675.0287520186976,None,675.0287520186976,None,3.0,13.561279249377549,681.9312977371737,None,675.0287520186976,None,5.0,20.33636269718409,688.1485558841377,None,675.0287520186976,None,space,1.859968537464738,20.3703447021544,None,675.0287520186976,None,675.0287520186976,None,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
5,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.2231014212593,None,710.2231014212593,None,710.2231014212593,None,4.0,28.51723536942154,710.2231014212593,None,710.2231014212593,None,3.0,30.140378763899207,717.7578797256574,None,710.2231014212593,None,4.0,36.64797812048346,739.9153815265745,None,710.2231014212593,None,space,0.9203190905973316,36.6708092559129,None,710.2231014212593,None,710.2231014212593,None,697.2522042449564,None,697.2522042449564,None,697.2522042449564,None,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
6,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.8509341040626,None,747.8509341040626,None,747.8509341040626,None,2.0,9.66412902250886,747.8509341040626,None,747.8509341040626,None,2.0,19.20576509088277,757.0710227480158,None,747.8509341040626,None,2.0,21.444774698466063,763.3884625099599,None,747.8509341040626,None,space,1.0172111308202147,21.471552677452564,None,747.8509341040626,None,747.8509341040626,None,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
7,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.4078340809792,None,770.4078340809792,None,770.4078340809792,None,3.0,5.913869156502187,770.4078340809792,None,770.4078340809792,None,1.0,8.286759793758392,775.8762543639168,None,770.4078340809792,None,3.0,11.526615873910488,778.2594740856439,None,770.4078340809792,None,space,1.8087269654497504,10.219938334077597,None,770.4078340809792,None,770.4078340809792,None,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
8,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.5283437203616,None,782.5283437203616,None,782.5283437203616,None,3.0,70.79332550149411,782.5283437203616,None,782.5283437203616,None,2.0,72.7660472067073,851.1497454792261,None,782.5283437203616,None,3.0,74.73866686131805,854.8506460357457,None,782.5283437203616,None,space,0.6000576224178076,74.75733148213476,None,782.5283437203616,None,782.5283437203616,None,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
9,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.9351113457233,None,857.9351113457233,None,857.9351113457233,None,2.0,4.426832811906934,857.9351113457233,None,857.9351113457233,None,1.0,5.58372241165489,861.9024884179235,None,857.9351113457233,None,2.0,7.756308346055448,863.0696070417762,None,857.9351113457233,None,space,0.7883409578353167,7.779988341033459,None,857.9351113457233,None,857.9351113457233,None,,,,,,,,,1,2022_May_27_1515,SAR-soap,2021.1.2,
