,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 33
16,Trial # 17,layer0-5_O11_to_O12.jpg,layer0-5/layer0-5_O11_to_O12.jpg,OO,layer0-5,0.0,16.0,16.0,16.0,,,,,,,,,72.46398175903596,None,1.0,1.3468317799270153,72.46398175903596,None,72.46398175903596,None,72.46398175903596,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
17,Trial # 18,layer0-5_T11_to_T5.jpg,layer0-5/layer0-5_T11_to_T5.jpg,TT,layer0-5,0.0,17.0,17.0,17.0,,,,,,,,,74.1633001039736,None,1.0,3.2419950319454074,74.1633001039736,None,74.1633001039736,None,74.1633001039736,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
18,Trial # 19,layer0-5_O6_to_T12.jpg,layer0-5/layer0-5_O6_to_T12.jpg,OT,layer0-5,0.0,18.0,18.0,18.0,,,,,,,,,77.69762257998809,None,1.0,1.6573793380521238,77.69762257998809,None,77.69762257998809,None,77.69762257998809,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
19,Trial # 20,layer6-8_T6_to_T8.jpg,layer6-8/layer6-8_T6_to_T8.jpg,TT,layer6-8,0.0,19.0,19.0,19.0,,,,,,,,,79.68147806706838,None,3.0,7.158608305035159,79.68147806706838,None,79.68147806706838,None,79.68147806706838,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
20,Trial # 21,layer9-17_T2_to_T5.jpg,layer9-17/layer9-17_T2_to_T5.jpg,TT,layer9-17,0.0,20.0,20.0,20.0,,,,,,,,,87.50073883100413,None,2.0,1.8417415511794388,87.50073883100413,None,87.50073883100413,None,87.50073883100413,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
21,Trial # 22,layer6-8_O2_to_O6.jpg,layer6-8/layer6-8_O2_to_O6.jpg,OO,layer6-8,0.0,21.0,21.0,21.0,,,,,,,,,89.66809942293912,None,2.0,3.823625813005492,89.66809942293912,None,89.66809942293912,None,89.66809942293912,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
22,Trial # 23,layer9-17_O3_to_T12.jpg,layer9-17/layer9-17_O3_to_T12.jpg,OT,layer9-17,0.0,22.0,22.0,22.0,,,,,,,,,95.452764792135,None,2.0,1.5565623850561678,95.452764792135,None,95.452764792135,None,95.452764792135,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
23,Trial # 24,layer0-5_O11_to_O3.jpg,layer0-5/layer0-5_O11_to_O3.jpg,OO,layer0-5,0.0,23.0,23.0,23.0,,,,,,,,,97.45426079607569,None,1.0,1.842881912132725,97.45426079607569,None,97.45426079607569,None,97.45426079607569,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
24,Trial # 25,layer6-8_O2_to_O9.jpg,layer6-8/layer6-8_O2_to_O9.jpg,OO,layer6-8,0.0,24.0,24.0,24.0,,,,,,,,,100.20502722309902,None,3.0,4.622469902969897,100.20502722309902,None,100.20502722309902,None,100.20502722309902,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
25,Trial # 26,layer9-17_O10_to_O8.jpg,layer9-17/layer9-17_O10_to_O8.jpg,OO,layer9-17,0.0,25.0,25.0,25.0,,,,,,,,,105.27263368992136,None,2.0,3.0952688578981906,105.27263368992136,None,105.27263368992136,None,105.27263368992136,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
26,Trial # 27,layer9-17_T4_to_T6.jpg,layer9-17/layer9-17_T4_to_T6.jpg,TT,layer9-17,0.0,26.0,26.0,26.0,,,,,,,,,110.0911363789346,None,2.0,1.3080370938405397,110.0911363789346,None,110.0911363789346,None,110.0911363789346,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
27,Trial # 28,layer6-8_O7_to_T8.jpg,layer6-8/layer6-8_O7_to_T8.jpg,OT,layer6-8,0.0,27.0,27.0,27.0,,,,,,,,,111.8764225190971,None,3.0,4.272805591113865,111.8764225190971,None,111.8764225190971,None,111.8764225190971,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
28,Trial # 29,layer6-8_T4_to_T5.jpg,layer6-8/layer6-8_T4_to_T5.jpg,TT,layer6-8,0.0,28.0,28.0,28.0,,,,,,,,,116.41008261102252,None,2.0,2.495017304085195,116.41008261102252,None,116.41008261102252,None,116.41008261102252,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
29,Trial # 30,layer6-8_T10_to_T9.jpg,layer6-8/layer6-8_T10_to_T9.jpg,TT,layer6-8,0.0,29.0,29.0,29.0,,,,,,,,,123.54530069814064,None,2.0,18.530935565009717,123.54530069814064,None,123.54530069814064,None,123.54530069814064,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
30,Trial # 31,layer9-17_O1_to_O8.jpg,layer9-17/layer9-17_O1_to_O8.jpg,OO,layer9-17,0.0,30.0,30.0,30.0,,,,,,,,,144.58507457002997,None,2.0,2.6211508389096707,144.58507457002997,None,144.58507457002997,None,144.58507457002997,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
31,Trial # 32,layer9-17_O12_to_O7.jpg,layer9-17/layer9-17_O12_to_O7.jpg,OO,layer9-17,0.0,31.0,31.0,31.0,,,,,,,,,147.83631836506538,None,2.0,1.1892897142097354,147.83631836506538,None,147.83631836506538,None,147.83631836506538,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
32,Trial # 33,layer9-17_T10_to_T12.jpg,layer9-17/layer9-17_T10_to_T12.jpg,TT,layer9-17,0.0,32.0,32.0,32.0,,,,,,,,,149.50387890613638,None,2.0,4.314228427130729,149.50387890613638,None,149.50387890613638,None,149.50387890613638,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
33,Trial # 34,layer0-5_T2_to_T6.jpg,layer0-5/layer0-5_T2_to_T6.jpg,TT,layer0-5,0.0,33.0,33.0,33.0,,,,,,,,,154.2717652239371,None,1.0,2.141783898929134,154.2717652239371,None,154.2717652239371,None,154.2717652239371,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
34,Trial # 35,layer6-8_T11_to_T2.jpg,layer6-8/layer6-8_T11_to_T2.jpg,TT,layer6-8,0.0,34.0,34.0,34.0,,,,,,,,,156.73952676309273,None,4.0,4.922085164114833,156.73952676309273,None,156.73952676309273,None,156.73952676309273,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
35,Trial # 36,layer6-8_O4_to_T3.jpg,layer6-8/layer6-8_O4_to_T3.jpg,OT,layer6-8,0.0,35.0,35.0,35.0,,,,,,,,,161.9748575829435,None,3.0,2.497805556980893,161.9748575829435,None,161.9748575829435,None,161.9748575829435,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
36,Trial # 37,layer6-8_O3_to_T11.jpg,layer6-8/layer6-8_O3_to_T11.jpg,OT,layer6-8,0.0,36.0,36.0,36.0,,,,,,,,,165.02533612097614,None,3.0,1.9587983479723332,165.02533612097614,None,165.02533612097614,None,165.02533612097614,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
37,Trial # 38,layer6-8_T1_to_T2.jpg,layer6-8/layer6-8_T1_to_T2.jpg,TT,layer6-8,0.0,37.0,37.0,37.0,,,,,,,,,169.35929576400667,None,3.0,2.5253338559996337,169.35929576400667,None,169.35929576400667,None,169.35929576400667,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
38,Trial # 39,layer9-17_O2_to_O6.jpg,layer9-17/layer9-17_O2_to_O6.jpg,OO,layer9-17,0.0,38.0,38.0,38.0,,,,,,,,,172.99394349800423,None,4.0,5.991993668023497,172.99394349800423,None,172.99394349800423,None,172.99394349800423,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
