,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 54
0,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,67.19087840401335,None,85.12028998503229,None,105.2278960919939,None,107.44403485400836,None,108.8115484730224,None,1,5.211021508963313,109.91232479299651,None,109.91232479299651,None,,,,,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
1,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,115.14702341001248,None,116.49659156502456,None,0,4.676755571970716,117.63060690899148,None,117.63060690899148,None,,,,,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
2,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,122.33217942999909,None,123.68346103001386,None,1,2.69881210901076,124.81656165403548,None,124.81656165403548,None,,,,,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
3,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,144.05669860501075,None,,,1,2.377180417999625,146.50618195004063,None,146.50618195004063,None,128.01700971502578,None,145.355649166042,None,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
4,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,148.90805549599463,None,,,0,2.06851514801383,151.374784086016,None,151.374784086016,None,,,150.20726412901422,None,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
5,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,153.4754499560222,None,,,0,2.701011615979951,155.94236160302535,None,155.94236160302535,None,,,154.77625122101745,None,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
6,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,158.66023606900126,None,,,1,1.2192296629655175,161.1281410260126,None,161.1281410260126,None,,,159.96126082603587,None,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
7,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,162.37759869801812,None,,,0,2.165066195011605,164.84626978699816,None,164.84626978699816,None,,,163.67921826301608,None,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
8,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,167.03005426900927,None,,,1,6.177075145009439,169.51428467803635,None,169.51428467803635,None,,,168.3297798809945,None,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
9,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,175.71527406800303,None,,,1,1.6363711599842643,178.1830001330236,None,178.1830001330236,None,,,177.0156834500376,None,,,,,1,2022_Mar_29_1435,Real-fake-judgement-flashing-group1,2021.1.2,60.014780802883415,
